Order;Family;Taxa;Aquatic passive;Aquatic active;Aerial passive;Aerial active;Dispersal category;Medium;Mode
Ephemeroptera;Caenidae;Caenis;2;1;1;1;Aquatic_passive;Aquatic;Passive
Ephemeroptera;Leptophlebiidae;Leptophlebiidae;2;1;1;1;Aquatic_passive;Aquatic;Passive
Odonata;Lestidae;Chalcolestes_viridis;1;1;0;3;Aerial_active;Aerial;Active
Odonata;Libellulidae;Sympetrum_striolatum;1;0;0;3;Aerial_active;Aerial;Active
Odonata;Aeshnidae;Aeshna_cyanea;1;1;0;3;Aerial_active;Aerial;Active
Coleoptera;Gyrinidae;Gyrinus_urinator;0;2;0;3;Aerial_active;Aerial;Active
Ephemeroptera;Baetidae;Cloeon_dipterum;1;2;1;2;Aerial_active;Aerial;Active
Odonata;Lestidae;Sympecma_fusca;0;1;0;3;Aerial_active;Aerial;Active
Diptera;Stratiomyidae;Stratiomys_longicornis;1;1;1;3;Aerial_active;Aerial;Active
Hemiptera;Notonectidae;Notonecta_maculata;0;2;0;3;Aerial_active;Aerial;Active
Coleoptera;Hydrophilidae;Hydrophilus;0;1;0;3;Aerial_active;Aerial;Active
Hemiptera;Nepidae;Nepa_cinerea;1;3;0;2;Aquatic_active;Aquatic;Active
Basommatophora;Physidae;Physella_acuta;2;1;0;0;Aquatic_passive;Aquatic;Passive
Odonata;Platycnemididae;Platycnemis_pennipes;1;1;0;3;Aerial_active;Aerial;Active
Diptera;Culicidae;Culiseta_longiareolata;0;0;2;3;Aerial_active;Aerial;Active
Odonata;Calopterygidae;Calopteryx_haemorrhoidalis;2;1;0;2;Aerial_active;Aerial;Active
Odonata;Aeshnidae;Anax_imperator;0;1;0;3;Aerial_active;Aerial;Active
Odonata;Cordulegastridae;Cordulegaster_boltonii;2;0;0;3;Aerial_active;Aerial;Active
Hemiptera;Gerridae;Aquarius_najas;1;2;0;3;Aerial_active;Aerial;Active
Odonata;Gomphidae;Gomphus_pulchellus;2;0;0;3;Aerial_active;Aerial;Active
Ephemeroptera;Caenidae;Caenis_luctuosa;2;1;1;1;Aquatic_passive;Aquatic;Passive
Trichoptera;Hydropsychidae;Hydropsyche;3;2;1;3;Aerial_active;Aerial;Active
Diptera;Tabanidae;Tabanus;0;1;0;3;Aerial_active;Aerial;Active
Diptera;Stratiomyidae;Oxycera_morrisii;1;1;1;3;Aerial_active;Aerial;Active
Odonata;Aeshnidae;Aeshna_mixta;1;1;0;3;Aerial_active;Aerial;Active
Odonata;Coenagrionidae;Ceriagrion_tenellum;2;1;0;3;Aerial_active;Aerial;Active
Coleoptera;Elmidae;Oulimnius_troglodytes;2;1;0;2;Aerial_active;Aerial;Active
Odonata;Libellulidae;Orthetrum_coerulescens;1;1;0;3;Aerial_active;Aerial;Active
Diptera;Culicidae;Culex_quinquefasciatus;0;0;2;3;Aerial_active;Aerial;Active
Odonata;Coenagrionidae;Ischnura_genei;1;1;0;3;Aerial_active;Aerial;Active
Odonata;Lestidae;Chalcolestes;1;1;0;3;Aerial_active;Aerial;Active
Coleoptera;Hydrophilidae;Helochares_lividus;0;1;0;3;Aerial_active;Aerial;Active
Odonata;Coenagrionidae;Pyrrhosoma_nymphula;2;1;0;3;Aerial_active;Aerial;Active
Odonata;Gomphidae;Onychogomphus_forcipatus;2;1;0;3;Aerial_active;Aerial;Active
Diptera;Chironomidae;Chironomus_luridus;2;1;0;1;Aquatic_passive;Aquatic;Passive
Hemiptera;Potamocoridae;Naucoris_maculatus;1;3;0;2;Aquatic_active;Aquatic;Active
Tubificida;Naididae;Potamothrix_bavaricus;2;2;0;0;Aquatic_active;Aerial;Active
Hemiptera;Gerridae;Gerris_gibbifer;1;2;0;3;Aerial_active;Aerial;Active
Hemiptera;Corixidae;Parasigara_perdubia;1;2;1;3;Aerial_active;Aerial;Active
Coleoptera;Dytiscidae;Stictonectes_rebeccae;1;1;0;3;Aerial_active;Aerial;Active
Trichoptera;Psychomyiidae;Tinodes_maculicornis;2;1;1;1;Aquatic_passive;Aquatic;Passive
Trichoptera;Hydroptilidae;Hydroptila_vectis;1;1;2;1;Aerial_passive;Aerial;Passive
Coleoptera;Dytiscidae;Stictonectes_epipleuricus;1;1;0;3;Aerial_active;Aerial;Active
Coleoptera;Hydrophilidae;Laccobius;1;1;0;3;Aerial_active;Aerial;Active
Coleoptera;Dytiscidae;Graptodytes;1;1;0;3;Aerial_active;Aerial;Active
Diptera;Tipulidae;Tipula_lateralis;0;1;0;1;Aerial_active;Aerial;Active
Ephemeroptera;Ephemerellidae;Serratella;2;3;1;3;Aerial_active;Aerial;Active
Plecoptera;Nemouridae;Nemoura_cinerea;2;2;0;2;Aerial_active;Aerial;Active
